name,cover,province_id,city_id,district_id,address,latitude,longitude,contact_number,opening_hours,court_types,is_indoor,facilities,court_qty,base_price,description,rating,enrolling_count,status
Prime Tennis铂金网球,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,北京市大兴区全季酒店育乐网球大兴荟聚店育乐网球(大兴荟聚店),39.790126,116.327163,18513391826,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,172,这里不错,0.0,0,0
趣打网球(室内店),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,博兴八路13号,39.766472,116.499856,13141254222,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""18:00""}]",[0],[1],"{""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",2,197,这里不错,0.0,0,0
毅思趣网球俱乐部(维恩堡店,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,旧宫镇科技路一号,39.810568,116.44922,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""23:00""}]",[0],[0],"{""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp""}",1,137,这里不错,0.0,0,0
越动网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,旧宫镇隆德路1号逸龙星体育公园内,39.803087,116.455938,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},1,166,这里不错,0.0,0,0
OPeNSTAR网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,南四环东路城外诚家居广场3层,39.836097,116.447908,15801360082,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,106,这里不错,0.0,0,0
旺兴湖网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,庑殿路15号(成和园小区正门南侧),39.81688,116.434428,18514777108,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""22:00""}]",[0],"[1, 0]",{},5,150,这里不错,0.0,0,0
永承国际网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,兴盛工业园同济中路7号5号楼,39.792883,116.52229,13436818284,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""07:00"", ""end_time"": ""23:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",2,143,这里不错,0.0,0,0
未来一号网球羽毛球篮球体育公园(亦庄店,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,兴盛街与永昌东二路交叉口东南200米,39.794145,116.521316,19913233846,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""18:00""}]",[0],[1],{},1,114,这里不错,0.0,0,0
蓝星网球室内俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,东马路99号玉华林玻璃城内,39.811648,116.475413,15117900863,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""23:00""}]",[0],[1],"{""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""rent"": ""https://static.poptennis.com.cn/court/icon/rent.webp"", ""free_food"": ""https://static.poptennis.com.cn/court/icon/free_food.webp""}",2,123,这里不错,0.0,0,0
未来壹号红土网球运动中心(,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,隆华路与旧忠路交叉口西140米,39.797472,116.451624,13811966927,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""18:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",4,173,这里不错,0.0,0,0
